,95,94,37,89,actual
1999-03-01,1.9,1.8,2.5,2.1,2.9
1999-04-01,2.1,2.4,2.5,1.9,4.0
2000-02-01,2.8,2.9,2.8,2.5,4.5
2000-03-01,3.3,3.1,3.2,2.9,3.9
2000-04-01,3.4,3.0,3.1,2.8,3.4
2001-01-01,3.3,3.4,3.4,3.7,3.1
2001-02-01,3.3,3.4,3.2,3.2,2.3
2001-03-01,2.7,2.6,3.1,3.0,1.9
2002-01-01,2.3,2.0,1.8,2.5,0.4
2002-02-01,1.0,1.0,1.0,1.4,0.9
2002-03-01,1.5,2.4,1.3,1.7,1.2
2002-04-01,1.9,2.5,2.0,2.2,1.2
2003-01-01,2.0,2.9,2.8,2.5,0.8
2003-02-01,2.0,2.0,1.4,1.9,0.3
2003-03-01,1.5,1.7,1.8,1.7,0.5
2003-04-01,1.2,1.98,1.6,1.4,1.1
2004-01-01,1.3,1.5,1.0,2.1,1.9
2004-02-01,1.9,2.0,1.5,1.8,2.4
2004-04-01,1.9,1.8,2.0,2.1,1.7
2005-01-01,2.2,2.4,2.1,2.1,1.5
2005-02-01,2.2,2.2,1.8,2.0,1.4
2005-03-01,1.7,2.2,2.2,1.9,1.9
2006-01-01,1.3,1.6,1.8,1.8,2.9
2006-02-01,1.3,1.6,2.2,1.7,3.4
2006-03-01,2.0,1.9,1.9,1.8,3.2
2006-04-01,2.3,2.0,2.2,1.9,3.8
2007-01-01,2.2,2.0,2.1,2.1,3.5
2007-02-01,2.0,2.3,2.1,1.8,3.1
2007-03-01,1.9,2.4,2.1,2.0,3.0
2008-01-01,2.4,2.4,2.1,2.3,2.2
2008-02-01,2.2,1.9,2.5,2.1,1.1
2008-04-01,1.4,0.9,1.6,1.4,-2.2
2009-01-01,1.1,0.2,1.4,1.3,-5.6
2009-03-01,-2.3,-3.1,-2.7,-0.5,-4.5
2010-01-01,-0.22,-1.0,0.4,-0.9,1.2
2010-02-01,1.8624860380000001,0.2,0.9,0.7,2.3
2010-03-01,1.6092,1.0,1.1,1.2,2.4
2010-04-01,1.6092,1.0,1.2,1.4,2.4
2011-01-01,1.6434,0.7,1.5,1.6,2.9
2011-02-01,1.35680426,1.0,1.7,1.4,1.9
2011-03-01,1.39722052,1.1,1.2,1.4,1.6
2011-04-01,1.881353333,1.5,1.5,1.4,0.6
2012-01-01,1.96825,0.7,1.1,1.7,-0.5
2012-02-01,0.858,0.3,0.5,1.0,-0.8
2012-03-01,-0.00217,-0.7,-0.1,-0.5,-1.0
2012-04-01,0.131166667,-0.7,0.2,0.1,-1.0
2013-01-01,0.1765,-0.1,0.2,-0.4,-1.2
2013-02-01,-0.09925,-0.4,0.1,0.0,-0.4
2013-03-01,-0.39580588200000005,-0.7,-0.5,0.2,0.1
2013-04-01,0.38299999999999995,-0.3,0.3,0.5,0.7
2014-01-01,0.42542479999999994,0.3,0.7,0.8,1.6
2014-02-01,0.95328609,0.6,0.9,0.9,1.2
2014-03-01,1.295,1.0,1.0,1.074246316,1.4
2014-04-01,1.195,1.0,1.0,1.2,1.5
2015-01-01,1.53,1.0,1.0,1.4,1.7
2015-02-01,1.1447967540000001,0.9,0.6,1.4,2.0
2015-03-01,1.1485,0.9,1.1,1.5,2.0
2015-04-01,1.8085,1.7,1.5,1.8,2.0
2016-01-01,1.8235,1.7,1.6,1.9,1.9
2016-02-01,1.8235,1.7,1.3,1.77,1.7
2016-03-01,1.8245,1.4,1.6,1.9,1.7
2016-04-01,1.5495,1.4485,1.7,1.8083,2.0
2017-01-01,1.600067769,0.8,1.4,0.920078568,2.2
2017-02-01,1.4184590990000001,0.8,1.5,1.1,2.7
2017-03-01,1.4184590990000001,1.3095,1.7,1.5,3.0
2017-04-01,1.504947711,1.5995,1.8,1.7350910940000002,3.1
2018-01-01,1.769456915,1.8655,2.1,1.772518506,2.5
2018-02-01,2.0688073819999997,1.9180000000000001,1.8,1.991984838,2.2
2018-03-01,2.352081333,1.9,2.4,2.1,1.5
