,95,94,37,89,actual
1999-11-01,10.8,11.0,10.1,10.5,9.55
2000-02-01,10.3,10.8,10.1,10.5,9.28
2000-08-01,9.5,9.7,10.3,9.5,8.88
2000-12-01,8.6,9.2,8.8,9.1,8.57
2001-02-01,8.3,9.0,8.7,8.9,8.42
2001-05-01,8.4,8.7,8.5,8.5,8.38
2001-08-01,8.3,9.3,8.4,8.5,8.38
2001-11-01,8.2,8.7,8.4,8.5,8.46
2002-05-01,8.2,8.5,8.2,7.9,8.56
2002-08-01,8.7,8.6,8.3,7.8,8.72
2002-11-01,8.79743009,8.6,8.6,8.0,8.86
2003-02-01,8.478365792,8.5,8.4,7.8,8.99
2003-05-01,8.1967157,8.5,8.3,7.7,9.04
2003-08-01,8.1967157,8.5,8.1,7.5,9.07
2003-11-01,8.5,8.7,8.1,7.5,9.08
2004-02-01,8.8,8.9,8.9,8.5,9.24
2004-05-01,8.90909688,8.5,8.7,8.5,9.26
2004-08-01,8.7,8.5,8.6,8.5,9.23
2005-02-01,8.6,8.8,8.5,8.3,9.17
2005-05-01,8.62385412,8.7,8.7,8.2,9.18
2005-08-01,8.6,8.7,8.6,8.3,9.02
2005-11-01,8.7,8.7,8.6,8.1,8.94
2006-05-01,8.7,8.7,8.5,8.4,8.49
2006-08-01,8.63446393,8.6,8.5,8.2,8.25
2006-11-01,8.0,8.0,7.8,7.6,8.05
2007-02-01,8.0,7.9,7.6,7.5,7.76
2007-05-01,7.7,7.5,7.4,7.4,7.54
2007-08-01,7.5,7.5,7.4,7.4,7.47
2007-11-01,7.5,7.2,7.1,7.3,7.32
2008-05-01,6.845849712000001,6.3,6.9,7.0,7.39
2008-08-01,6.814263266,6.7,6.6,6.9,7.58
2009-02-01,7.1,7.6,6.9,7.2,9.01
2009-05-01,7.393240846,7.8,7.6,7.5,9.57
2009-11-01,9.654161092999999,10.0,9.3,8.3,10.08
2010-05-01,10.84,11.1,10.5,11.4,10.3
2010-08-01,10.423682000000001,11.0,10.3,10.3,10.2
2010-11-01,10.0635,11.0,10.2,10.2,10.14
2011-02-01,10.363,10.8,9.9,9.9,10.03
2011-05-01,10.3152,10.1,9.8,9.8,10.0
2011-08-01,10.2485,10.1,9.7,9.6,10.25
2011-11-01,9.866018873,9.8,9.7,9.6,10.61
2012-02-01,9.511176471,9.7,9.6,9.6,10.92
2012-05-01,9.557058824,9.5,9.5,9.1,11.31
2012-08-01,10.01147059,9.7,9.8,9.4,11.51
2012-11-01,10.58714706,11.0,10.4,10.9,11.81
2013-02-01,10.85536765,11.1,11.2,11.2,12.05
2013-05-01,11.27205882,10.9,11.1,12.3,12.08
2013-08-01,11.84,11.3,11.5,12.3,12.02
2013-11-01,11.96795882,12.7,12.1,12.1,11.91
2014-02-01,12.105,12.6,12.2,11.9,11.87
2014-05-01,12.5,12.3,12.4,11.5,11.66
2014-08-01,12.4,11.9,12.0,11.2,11.47
2014-11-01,12.033,11.8,12.0,11.3,11.52
2015-02-01,11.882,11.7,11.6,11.45,11.2
2015-05-01,11.487,11.2,11.1,11.2,11.03
2015-08-01,11.312000000000001,11.1,11.2,11.2,10.67
2015-11-01,11.0695,10.7,11.0,10.8,10.49
2016-02-01,11.025,10.5,10.8,10.6,10.36
2016-05-01,10.735,10.3,10.7,10.3,10.15
2016-08-01,10.645,10.0,10.6,10.4,9.89
2016-11-01,9.994,10.1,10.1,10.1,9.77
2017-02-01,9.8495,9.9475,9.7,9.88,9.43
2017-05-01,9.662208257,9.8,9.7,9.76,9.18
2017-08-01,9.622177788,9.6,9.7,9.7,8.98
2018-02-01,9.450983385,8.632,9.1,9.1,8.52
2018-05-01,8.832464667,8.657,8.8,9.1,8.24
2018-08-01,8.69922751,8.5495,8.6,8.25,8.03
2018-11-01,8.488762741,8.1,7.7,8.17,7.91
